Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
transformer,rw,sum,AvgAgg,-,2,sm,1,0.7569169960474308,0.7428382095279354,0.832,0.7793911007025761,0.8048367593712212,1.0675,0.8264623955431755,0.7486752460257381,0.7856480868529061,1.103899721448468,0.557,0.7466487935656837,0.6380297823596793,0.746,2
transformer,rw,sum,pure,partial,2,sm,1,0.541897233201581,0.4447470792779295,0.717,0.41337561256846356,0.5244103126714208,1.7345,0.7047353760445683,0.649217346676931,0.6758381194069721,1.0855153203342618,0.0745,0.6651785714285714,0.13399280575539568,0.112,1
transformer,rw,pure,AvgAggRes,-,2,sm,1,0.6712779973649539,0.6503894739560607,0.6,0.8368200836820083,0.69889341875364,0.717,0.824791086350975,0.6351351351351351,0.7176442074648569,1.298607242339833,0.467,0.6251673360107095,0.5346307956496851,0.747,1
gat,rw,-,-,-,2,sm,1,0.49828722002635045,0.4387972026014073,0.346,0.44217252396166135,0.388218793828892,0.7825,0.7194986072423398,0.5492238996385286,0.6229350054262631,1.3100278551532034,0.2535,0.3835098335854766,0.30523780854906685,0.661,7
transformer,rw,pure,pure,-,2,sm,1,0.4496706192358366,0.24361256034405743,0.0735,0.23557692307692307,0.11204268292682926,0.312,0.9097493036211699,0.46884869365489523,0.618794998105343,1.9403899721448468,0.0,0,0,0.0,6
hnhn,rw,-,-,-,2,sm,1,0.5212121212121212,0.4933906641419523,0.542,0.5584750128799588,0.5501141842172038,0.9705,0.63008356545961,0.5693430656934306,0.5981753272510908,1.1066852367688023,0.305,0.3639618138424821,0.33188248095756256,0.838,9
transformer,rw,RankQ,AvgAggRes,-,2,sm,1,0.7596837944664031,0.7539747498702911,0.826,0.8360323886639676,0.8309859154929577,0.988,0.7938718662952646,0.759594882729211,0.7763552165622447,1.045125348189415,0.632,0.6788399570354458,0.6545831175556708,0.931,1
transformer,rw,RankQ,AvgAgg,partial,2,sm,1,0.6067193675889329,0.5310467552723402,0.5415,0.5706006322444679,0.5556695741405849,0.949,0.8612813370473538,0.625910931174089,0.724970691676436,1.3760445682451254,0.215,0.5718085106382979,0.3125,0.376,16
transformer,rw,pure,pure,partial,2,sm,1,0.4728590250329381,0.3530297141911,0.59,0.38052241212512095,0.46265438149382476,1.5505,0.6710306406685237,0.5367647058823529,0.5964347610794751,1.2501392757660168,0.0,0.0,0,0.0005,1
transformer,rw,sum,AvgAggRes,-,2,sm,1,0.7396574440052701,0.7336838849742099,0.8505,0.7806333180357963,0.8140703517587939,1.0895,0.7434540389972145,0.7709416522241479,0.7569483834373227,0.9643454038997215,0.622,0.638276038994356,0.6300329197265131,0.9745,1
transformer,rw,RankQ,pure,-,2,sm,1,0.7283267457180501,0.718826417116892,0.7305,0.784219001610306,0.7564069376132541,0.9315,0.7880222841225627,0.7319534282018111,0.758953722334004,1.0766016713091922,0.619,0.664876476906552,0.6411185914034179,0.931,5
